step,epsilon,gamma,nbeta,llc_mean
8,9.999999999999999e-06,10.0,0.8207331788168325,0.10062606632709503
24,1e-06,10.0,0.8207331788168325,0.010514034889638424
55,1e-06,50.0,0.8207331788168325,0.04954123869538307
94,1e-06,50.0,0.8207331788168325,0.01872120425105095
162,9.999999999999999e-06,10.0,0.8207331788168325,0.5720106363296509
473,1e-06,10.0,0.8207331788168325,0.043621163815259933
809,1e-06,200.0,0.8207331788168325,0.04327980428934097
1382,1e-06,100.0,0.8207331788168325,0.03923523798584938
3088,1e-06,100.0,0.8207331788168325,0.02259531430900097
9017,1e-06,100.0,0.8207331788168325,0.02182915061712265
15408,1e-06,200.0,0.8207331788168325,0.033446989953517914
26327,1e-06,200.0,0.8207331788168325,0.019681457430124283
58801,1e-06,200.0,0.8207331788168325,0.0030722576193511486
100471,1e-06,10.0,0.8207331788168325,0.022248750552535057
131331,1e-06,200.0,0.8207331788168325,0.020815152674913406
224398,1e-06,200.0,0.8207331788168325,0.03472442924976349
383418,1e-06,200.0,0.8207331788168325,0.0733102336525917
500000,1e-06,10.0,0.8207331788168325,0.0007247686153277755
