step,train_acc,test_acc,train_loss,test_loss,train_LC,test_LC,rand_LC,adv_acc
4037,tensor(0.9820),tensor(0.7410),tensor(0.0533),tensor(1.6341),41.3505859375,41.908203125,24.587890625,tensor(0.0524)
5277,tensor(0.9832),tensor(0.7346),tensor(0.0518),tensor(1.6805),42.2138671875,42.076171875,23.2001953125,tensor(0.0625)
6898,tensor(0.9890),tensor(0.7395),tensor(0.0339),tensor(1.8585),40.044921875,39.9599609375,22.904296875,tensor(0.0609)
9017,tensor(0.9844),tensor(0.7280),tensor(0.0484),tensor(1.7487),39.5771484375,40.26953125,22.892578125,tensor(0.0640)
11787,tensor(0.9851),tensor(0.7323),tensor(0.0467),tensor(2.0997),37.7109375,38.1064453125,22.0751953125,tensor(0.0795)
15408,tensor(0.9821),tensor(0.7191),tensor(0.0561),tensor(2.0277),37.18359375,37.7197265625,21.1748046875,tensor(0.0586)
20141,tensor(0.9938),tensor(0.7376),tensor(0.0204),tensor(2.0997),34.5380859375,34.765625,19.861328125,tensor(0.0483)
26327,tensor(0.9944),tensor(0.7313),tensor(0.0188),tensor(2.3230),34.37109375,34.69140625,19.5712890625,tensor(0.0681)
34413,tensor(0.9945),tensor(0.7324),tensor(0.0191),tensor(2.3859),32.2548828125,32.5615234375,18.2548828125,tensor(0.0617)
44984,tensor(0.9962),tensor(0.7297),tensor(0.0125),tensor(2.7956),31.3564453125,31.6630859375,18.30859375,tensor(0.0629)
58801,tensor(0.9949),tensor(0.7356),tensor(0.0164),tensor(2.9129),31.2041015625,32.0771484375,18.10546875,tensor(0.0698)
76862,tensor(0.9963),tensor(0.7354),tensor(0.0120),tensor(3.4345),29.1240234375,29.6416015625,17.2451171875,tensor(0.0925)
100471,tensor(0.9953),tensor(0.7210),tensor(0.0173),tensor(4.3386),29.677734375,29.4990234375,16.4736328125,tensor(0.1312)
131331,tensor(0.9943),tensor(0.7196),tensor(0.0322),tensor(5.6616),27.2099609375,27.7294921875,15.7509765625,tensor(0.1843)
171669,tensor(0.9947),tensor(0.7240),tensor(0.0440),tensor(8.5691),25.8564453125,26.5390625,15.271484375,tensor(0.2955)
224398,tensor(0.9962),tensor(0.7203),tensor(0.0516),tensor(16.9183),27.244140625,27.1396484375,15.138671875,tensor(0.4560)
293323,tensor(0.9985),tensor(0.7214),tensor(0.0340),tensor(35.6795),28.82421875,29.400390625,14.474609375,tensor(0.5777)
383418,tensor(0.9980),tensor(0.7213),tensor(0.1751),tensor(106.6200),24.8974609375,24.873046875,14.0673828125,tensor(0.6700)
500000,tensor(0.9984),tensor(0.7180),tensor(0.5399),tensor(410.4701),24.2373046875,24.24609375,12.984375,tensor(0.7020)
