step,llc_mean,llc_std,nearest_calibrated_step,used_epsilon,used_gamma,used_nbeta,mala_acceptance,checkpoint_file,timestamp,success
1,0.3552843928337097,,24,1e-06,5000.0,82.073,0.7142730355262756,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:1.pt,2025-08-16T16:38:51.523161,True
2,0.769253134727478,,24,1e-06,5000.0,82.073,0.6759563088417053,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:2.pt,2025-08-16T16:39:46.970112,True
3,0.801737904548645,,24,1e-06,5000.0,82.073,0.6603184342384338,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:3.pt,2025-08-16T16:40:42.181591,True
4,0.8128764629364014,,24,1e-06,5000.0,82.073,0.6651849746704102,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:4.pt,2025-08-16T16:41:37.271343,True
6,-0.08746558427810669,,24,1e-06,5000.0,82.073,0.62848299741745,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:6.pt,2025-08-16T16:42:32.400090,True
8,-2.210951328277588,,24,1e-06,5000.0,82.073,0.5973563194274902,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:8.pt,2025-08-16T16:43:27.617244,True
11,-1.2300024032592773,,24,1e-06,5000.0,82.073,0.6561732292175293,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:11.pt,2025-08-16T16:44:22.754431,True
14,1.2652583122253418,,24,1e-06,5000.0,82.073,0.6403992176055908,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:14.pt,2025-08-16T16:45:17.888049,True
19,-1.3706032037734985,,24,1e-06,5000.0,82.073,0.5858800411224365,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:19.pt,2025-08-16T16:46:13.151328,True
24,-3.770888566970825,,24,1e-06,5000.0,82.073,0.5966410040855408,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:24.pt,2025-08-16T16:47:08.420745,True
32,-0.5185589790344238,,24,1e-06,5000.0,82.073,0.5599079132080078,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:32.pt,2025-08-16T16:48:03.616913,True
42,-1.7621132135391235,,55,1e-05,5000.0,82.073,0.5920834541320801,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:42.pt,2025-08-16T16:48:58.935991,True
55,-2.116558074951172,,55,1e-05,5000.0,82.073,0.5432648062705994,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:55.pt,2025-08-16T16:49:53.957946,True
72,0.2941129207611084,,55,1e-05,5000.0,82.073,0.552365779876709,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:72.pt,2025-08-16T16:50:48.994994,True
94,-0.0930873230099678,,94,1e-05,5000.0,82.073,0.5382941365242004,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:94.pt,2025-08-16T16:51:44.279731,True
124,0.618240475654602,,94,1e-05,5000.0,82.073,0.590426504611969,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:124.pt,2025-08-16T16:52:39.778484,True
162,-3.875213623046875,,162,1e-05,5000.0,82.073,0.5681843161582947,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:162.pt,2025-08-16T16:53:35.225664,True
212,1.434105634689331,,162,1e-05,5000.0,82.073,0.5711551308631897,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:212.pt,2025-08-16T16:54:30.611613,True
277,0.623156726360321,,162,1e-05,5000.0,82.073,0.5828863382339478,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:277.pt,2025-08-16T16:55:25.935155,True
362,-1.6880841255187988,,473,1e-05,5000.0,82.073,0.5756344795227051,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:362.pt,2025-08-16T16:56:21.424322,True
473,-2.280607223510742,,473,1e-05,5000.0,82.073,0.5375515818595886,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:473.pt,2025-08-16T16:57:16.659028,True
619,-1.608180046081543,,473,1e-05,5000.0,82.073,0.578585147857666,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:619.pt,2025-08-16T16:58:11.609416,True
809,1.7176525592803955,,809,0.0001,5000.0,82.073,0.5044786930084229,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:809.pt,2025-08-16T16:59:06.612066,True
