step,llc_mean,llc_std,nearest_calibrated_step,used_epsilon,used_gamma,used_nbeta,mala_acceptance,checkpoint_file,timestamp,success
1,5.253521919250488,0.7912001609802246,8,9.999999999999999e-06,1.0,0.8207331788168325,0.8716933727264404,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:1.pt,2025-08-21T17:54:27.969178,True
2,5.514047622680664,0.4540448486804962,8,9.999999999999999e-06,1.0,0.8207331788168325,0.8637590408325195,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:2.pt,2025-08-21T17:54:48.352087,True
3,4.998281955718994,0.6410112977027893,8,9.999999999999999e-06,1.0,0.8207331788168325,0.8774831295013428,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:3.pt,2025-08-21T17:55:08.873227,True
4,4.224020481109619,1.0061638355255127,8,9.999999999999999e-06,1.0,0.8207331788168325,0.8886908888816833,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:4.pt,2025-08-21T17:55:29.233972,True
6,4.247462749481201,2.6151463985443115,8,9.999999999999999e-06,1.0,0.8207331788168325,0.8868858814239502,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:6.pt,2025-08-21T17:55:49.625593,True
8,5.765437602996826,2.0714056491851807,8,9.999999999999999e-06,1.0,0.8207331788168325,0.8739891648292542,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:8.pt,2025-08-21T17:56:09.991488,True
11,4.709071159362793,1.26900053024292,8,9.999999999999999e-06,1.0,0.8207331788168325,0.8941233158111572,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:11.pt,2025-08-21T17:56:30.476056,True
14,3.800218105316162,0.5542413592338562,8,9.999999999999999e-06,1.0,0.8207331788168325,0.8874330520629883,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:14.pt,2025-08-21T17:56:50.843825,True
19,-0.0389208160340786,0.022196197882294655,24,1e-06,1.0,0.8207331788168325,0.9659895896911621,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:19.pt,2025-08-21T17:57:11.320227,True
24,-0.06299453973770142,0.02508542686700821,24,1e-06,1.0,0.8207331788168325,0.9672077894210815,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:24.pt,2025-08-21T17:57:31.837447,True
