step,epsilon,gamma,nbeta,llc_mean
8,0.001,1000.0,0.8207331788168325,0.16335925459861755
24,9.999999999999999e-05,1000.0,0.8207331788168325,0.09137225151062012
55,9.999999999999999e-06,5000.0,0.8207331788168325,0.08590258657932281
94,9.999999999999999e-06,5000.0,0.8207331788168325,0.09504452347755432
162,9.999999999999999e-06,5000.0,0.8207331788168325,0.14475739002227783
473,9.999999999999999e-05,1000.0,0.8207331788168325,0.6322963237762451
809,9.999999999999999e-05,1000.0,0.8207331788168325,0.4535233974456787
1382,9.999999999999999e-05,1000.0,259.5386196331449,72.99913787841797
3088,9.999999999999999e-06,1000.0,0.8207331788168325,0.41535845398902893
9017,9.999999999999999e-05,1000.0,0.8207331788168325,0.45958632230758667
15408,0.001,1000.0,0.8207331788168325,0.6208091974258423
26327,9.999999999999999e-05,1000.0,0.8207331788168325,0.2798033654689789
58801,9.999999999999999e-06,1000.0,0.8207331788168325,0.19161371886730194
100471,0.001,1000.0,0.8207331788168325,0.836272120475769
131331,9.999999999999999e-06,1000.0,0.8207331788168325,0.26695987582206726
224398,9.999999999999999e-05,1000.0,0.8207331788168325,0.8287339210510254
383418,9.999999999999999e-05,1000.0,0.8207331788168325,1.8984060287475586
500000,0.001,1000.0,0.8207331788168325,4.7620038986206055
