step,epsilon,gamma,nbeta,llc_mean
8,9.999999999999999e-06,1.0,0.8207331788168325,0.10147802531719208
24,1e-06,1.0,0.8207331788168325,0.010514387860894203
55,1e-06,1.0,0.8207331788168325,0.009641009382903576
94,1e-06,1.0,0.8207331788168325,0.0026849571149796247
162,1e-06,1.0,0.8207331788168325,0.02071313187479973
473,1e-06,1.0,0.8207331788168325,0.043648190796375275
809,1e-06,1.0,0.8207331788168325,0.015274780802428722
1382,1e-06,1.0,0.8207331788168325,0.03141411766409874
3088,1e-06,1.0,0.8207331788168325,0.052537668496370316
9017,1e-06,1.0,0.8207331788168325,0.009114015847444534
15408,1e-06,1.0,0.8207331788168325,0.007675698958337307
26327,1e-06,1.0,0.8207331788168325,0.008151750080287457
58801,1e-06,1.0,0.8207331788168325,0.01017268281430006
100471,1e-06,1.0,0.8207331788168325,0.022273393347859383
131331,1e-06,1.0,0.8207331788168325,0.007353194057941437
224398,1e-06,1.0,0.8207331788168325,0.045801203697919846
383418,9.999999999999999e-06,1.0,0.8207331788168325,2.1807174682617188
500000,1e-06,1.0,0.8207331788168325,0.0005312055582180619
