step,llc_mean,llc_std,nearest_calibrated_step,used_epsilon,used_gamma,used_nbeta,mala_acceptance,checkpoint_file,timestamp,success
1,5.183990001678467,3.411198139190674,8,9.999999999999999e-06,1.0,0.8207331788168325,0.8883818984031677,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:1.pt,2025-08-18T19:32:43.740105,True
2,6.307593822479248,3.1554229259490967,8,9.999999999999999e-06,1.0,0.8207331788168325,0.8641696572303772,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:2.pt,2025-08-18T19:33:38.927887,True
3,6.675296783447266,2.3981809616088867,8,9.999999999999999e-06,1.0,0.8207331788168325,0.866802990436554,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:3.pt,2025-08-18T19:34:33.899967,True
4,6.4058637619018555,2.193042516708374,8,9.999999999999999e-06,1.0,0.8207331788168325,0.8750465512275696,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:4.pt,2025-08-18T19:35:28.772428,True
6,6.183119297027588,2.0192649364471436,8,9.999999999999999e-06,1.0,0.8207331788168325,0.8710797429084778,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:6.pt,2025-08-18T19:36:23.636801,True
8,6.112289905548096,2.2861063480377197,8,9.999999999999999e-06,1.0,0.8207331788168325,0.8744387030601501,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:8.pt,2025-08-18T19:37:18.502751,True
11,5.026434421539307,0.9293141961097717,8,9.999999999999999e-06,1.0,0.8207331788168325,0.9053189158439636,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:11.pt,2025-08-18T19:38:13.472796,True
14,5.440011024475098,0.8570131659507751,8,9.999999999999999e-06,1.0,0.8207331788168325,0.9073412418365479,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:14.pt,2025-08-18T19:39:08.463390,True
19,0.004192044027149677,0.019481653347611427,24,1e-06,1.0,0.8207331788168325,0.9635387063026428,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:19.pt,2025-08-18T19:40:03.394122,True
24,-0.02612752467393875,0.016923660412430763,24,1e-06,1.0,0.8207331788168325,0.9645379781723022,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:24.pt,2025-08-18T19:40:58.510707,True
32,0.06139811500906944,0.027915451675653458,24,1e-06,1.0,0.8207331788168325,0.9616070985794067,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:32.pt,2025-08-18T19:41:53.529505,True
42,0.016109444200992584,0.02394780144095421,55,1e-06,1.0,0.8207331788168325,0.963386058807373,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:42.pt,2025-08-18T19:42:48.591611,True
55,0.07087337225675583,0.03044138476252556,55,1e-06,1.0,0.8207331788168325,0.9546008706092834,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:55.pt,2025-08-18T19:43:43.693505,True
72,0.06932245939970016,0.043453287333250046,55,1e-06,1.0,0.8207331788168325,0.9593791365623474,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:72.pt,2025-08-18T19:44:38.969018,True
94,0.04306614026427269,0.026848914101719856,94,1e-06,1.0,0.8207331788168325,0.9575620889663696,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:94.pt,2025-08-18T19:45:33.925109,True
124,0.0771111249923706,0.05572210252285004,94,1e-06,1.0,0.8207331788168325,0.9561251401901245,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:124.pt,2025-08-18T19:46:29.109149,True
162,0.19331681728363037,0.04175860807299614,162,1e-06,1.0,0.8207331788168325,0.9547345042228699,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:162.pt,2025-08-18T19:47:23.952162,True
212,0.08368757367134094,0.025715315714478493,162,1e-06,1.0,0.8207331788168325,0.9567417502403259,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:212.pt,2025-08-18T19:48:18.836650,True
277,0.09797805547714233,0.04666261374950409,162,1e-06,1.0,0.8207331788168325,0.957005500793457,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:277.pt,2025-08-18T19:49:13.589498,True
362,0.08870390057563782,0.08810476958751678,473,1e-06,1.0,0.8207331788168325,0.957245945930481,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:362.pt,2025-08-18T19:50:08.398114,True
473,0.10509581863880157,0.09183032065629959,473,1e-06,1.0,0.8207331788168325,0.9528504014015198,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:473.pt,2025-08-18T19:51:03.318277,True
619,0.20938266813755035,0.12742027640342712,473,1e-06,1.0,0.8207331788168325,0.9470316767692566,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:619.pt,2025-08-18T19:51:58.300004,True
809,0.19366763532161713,0.11887475848197937,809,1e-06,1.0,0.8207331788168325,0.9475131630897522,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:809.pt,2025-08-18T19:52:53.147332,True
1058,0.17373216152191162,0.07051165401935577,809,1e-06,1.0,0.8207331788168325,0.952824592590332,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:1058.pt,2025-08-18T19:53:48.016676,True
1382,0.2704547941684723,0.1016082689166069,1382,1e-06,1.0,0.8207331788168325,0.9469797015190125,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:1382.pt,2025-08-18T19:54:42.694328,True
1807,0.24312932789325714,0.12231656908988953,1382,1e-06,1.0,0.8207331788168325,0.948026716709137,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:1807.pt,2025-08-18T19:55:37.703093,True
2363,0.28158074617385864,0.06484943628311157,3088,1e-06,1.0,0.8207331788168325,0.948978841304779,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:2363.pt,2025-08-18T19:56:32.501903,True
3088,0.2913829982280731,0.09977284073829651,3088,1e-06,1.0,0.8207331788168325,0.9546560049057007,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:3088.pt,2025-08-18T19:57:27.331571,True
4037,0.33468151092529297,0.06356275826692581,3088,1e-06,1.0,0.8207331788168325,0.9469523429870605,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:4037.pt,2025-08-18T19:58:22.200334,True
