step,llc_mean,llc_std,nearest_calibrated_step,used_epsilon,used_gamma,used_nbeta,mala_acceptance,checkpoint_file,timestamp,success
1,4.536877632141113,3.2054173946380615,8,9.999999999999999e-06,20.0,0.8207331788168325,0.8957356214523315,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:1.pt,2025-08-18T15:37:17.293439,True
2,5.521853446960449,2.9384450912475586,8,9.999999999999999e-06,20.0,0.8207331788168325,0.8749595880508423,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:2.pt,2025-08-18T15:38:13.528049,True
3,5.761967658996582,2.1539270877838135,8,9.999999999999999e-06,20.0,0.8207331788168325,0.874946117401123,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:3.pt,2025-08-18T15:39:09.795500,True
4,5.455705165863037,1.9255104064941406,8,9.999999999999999e-06,20.0,0.8207331788168325,0.8811820149421692,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:4.pt,2025-08-18T15:40:06.027906,True
6,5.2119927406311035,1.8018707036972046,8,9.999999999999999e-06,20.0,0.8207331788168325,0.882506787776947,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:6.pt,2025-08-18T15:41:02.196478,True
8,5.266993522644043,2.0261478424072266,8,9.999999999999999e-06,20.0,0.8207331788168325,0.8837924599647522,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:8.pt,2025-08-18T15:41:58.251702,True
11,4.177168846130371,0.7864518761634827,8,9.999999999999999e-06,20.0,0.8207331788168325,0.915419340133667,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:11.pt,2025-08-18T15:42:54.471318,True
14,4.558093070983887,0.7339741587638855,8,9.999999999999999e-06,20.0,0.8207331788168325,0.9152448177337646,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:14.pt,2025-08-18T15:43:50.675580,True
19,0.004165936261415482,0.019480189308524132,24,1e-06,5.0,0.8207331788168325,0.9650138020515442,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:19.pt,2025-08-18T15:44:46.881238,True
24,-0.02614367939531803,0.016923727467656136,24,1e-06,5.0,0.8207331788168325,0.9652661681175232,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:24.pt,2025-08-18T15:45:42.992581,True
32,0.06132819503545761,0.027912018820643425,24,1e-06,5.0,0.8207331788168325,0.9627532362937927,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:32.pt,2025-08-18T15:46:39.058027,True
42,0.01607583835721016,0.023949144408106804,55,1e-06,5.0,0.8207331788168325,0.9643986821174622,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:42.pt,2025-08-18T15:47:35.408375,True
55,0.07074713706970215,0.030426176264882088,55,1e-06,5.0,0.8207331788168325,0.9575135111808777,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:55.pt,2025-08-18T15:48:31.826807,True
72,0.06925462931394577,0.04344625771045685,55,1e-06,5.0,0.8207331788168325,0.961378812789917,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:72.pt,2025-08-18T15:49:28.097764,True
94,0.04306616261601448,0.026848934590816498,94,1e-06,1.0,0.8207331788168325,0.9575620889663696,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:94.pt,2025-08-18T15:50:24.511689,True
