step,epsilon,gamma,nbeta,llc_mean
8,9.999999999999999e-06,20.0,0.8207331788168325,0.02774135209619999
24,1e-06,5.0,0.8207331788168325,0.007034116890281439
55,1e-06,5.0,0.8207331788168325,0.04457126185297966
94,1e-06,1.0,0.8207331788168325,0.0026849571149796247
162,1e-06,1.0,0.8207331788168325,0.02071313187479973
473,1e-06,1.0,0.8207331788168325,0.043648190796375275
809,1e-06,5.0,0.8207331788168325,0.05505042523145676
1382,1e-06,20.0,0.8207331788168325,0.11850462108850479
3088,1e-06,10.0,0.8207331788168325,0.05077618360519409
9017,1e-06,5.0,0.8207331788168325,0.024443767964839935
15408,1e-06,1.0,0.8207331788168325,0.007675698958337307
26327,1e-06,1.0,0.8207331788168325,0.008151750080287457
58801,1e-06,1.0,0.8207331788168325,0.01017268281430006
100471,1e-06,1.0,0.8207331788168325,0.022273393347859383
131331,1e-06,10.0,0.8207331788168325,0.029156813398003578
224398,1e-06,10.0,0.8207331788168325,0.026978900656104088
383418,1e-06,10.0,0.8207331788168325,0.11137700080871582
500000,1e-06,5.0,0.8207331788168325,0.3582409918308258
