step,llc_mean,llc_std,nearest_calibrated_step,used_epsilon,used_gamma,used_nbeta,mala_acceptance,checkpoint_file,timestamp,success
1,4.87240743637085,3.323131799697876,8,9.999999999999999e-06,10.0,0.8207331788168325,0.8933424949645996,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:1.pt,2025-08-18T00:08:11.742699,True
2,5.926112174987793,3.058561325073242,8,9.999999999999999e-06,10.0,0.8207331788168325,0.8688666820526123,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:2.pt,2025-08-18T00:09:06.894649,True
3,6.229134559631348,2.282064199447632,8,9.999999999999999e-06,10.0,0.8207331788168325,0.870776891708374,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:3.pt,2025-08-18T00:10:02.107201,True
4,5.940155506134033,2.0640859603881836,8,9.999999999999999e-06,10.0,0.8207331788168325,0.8779793381690979,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:4.pt,2025-08-18T00:10:57.481384,True
6,5.7051191329956055,1.9154008626937866,8,9.999999999999999e-06,10.0,0.8207331788168325,0.8756838440895081,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:6.pt,2025-08-18T00:11:52.690776,True
8,5.700683116912842,2.1621646881103516,8,9.999999999999999e-06,10.0,0.8207331788168325,0.8786007761955261,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:8.pt,2025-08-18T00:12:47.778659,True
11,4.6078996658325195,0.8588709235191345,8,9.999999999999999e-06,10.0,0.8207331788168325,0.9112040996551514,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:11.pt,2025-08-18T00:13:42.616476,True
14,5.005193710327148,0.7963142395019531,8,9.999999999999999e-06,10.0,0.8207331788168325,0.9109364151954651,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:14.pt,2025-08-18T00:14:37.582073,True
19,0.004132827743887901,0.01947447657585144,24,1e-06,10.0,0.8207331788168325,0.964678168296814,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:19.pt,2025-08-18T00:15:32.504584,True
24,-0.0261627659201622,0.016919950023293495,24,1e-06,10.0,0.8207331788168325,0.9648861289024353,/home/ztzifa/grok-adversarial/models/Fri_Jul_18_17:04:54_2025/checkpoint-s:24.pt,2025-08-18T00:16:27.545202,True
