step,epsilon,gamma,nbeta,llc_mean
8,0.001,1000.0,82.07331788168325,0.16335925459861755
24,0.001,1000.0,82.07331788168325,0.0966307520866394
55,9.999999999999999e-06,1000.0,82.07331788168325,0.1461440771818161
94,9.999999999999999e-06,1000.0,82.07331788168325,0.12706710398197174
162,9.999999999999999e-05,1000.0,82.07331788168325,0.315865159034729
473,9.999999999999999e-05,1000.0,82.07331788168325,0.5832759737968445
809,9.999999999999999e-06,1000.0,82.07331788168325,0.2502354383468628
1382,9.999999999999999e-05,1000.0,82.07331788168325,0.6802570819854736
3088,9.999999999999999e-05,1000.0,82.07331788168325,108.80833435058594
9017,9.999999999999999e-05,1000.0,82.07331788168325,66.99862670898438
15408,9.999999999999999e-05,1000.0,82.07331788168325,0.47503671050071716
26327,9.999999999999999e-05,1000.0,82.07331788168325,0.36791422963142395
58801,0.001,1000.0,82.07331788168325,0.6647540330886841
131331,0.001,1000.0,82.07331788168325,1.2694270610809326
224398,9.999999999999999e-05,1000.0,82.07331788168325,1.0335566997528076
383418,9.999999999999999e-05,1000.0,82.07331788168325,2.3134560585021973
500000,0.001,1000.0,82.07331788168325,5.830937385559082
